,ESTU_GENERO,ESTU_FECHANACIMIENTO,PERIODO,ESTU_CONSECUTIVO,ESTU_PAIS_RESIDE,ESTU_DEPTO_RESIDE,ESTU_COD_RESIDE_DEPTO,ESTU_MCPIO_RESIDE,ESTU_COD_RESIDE_MCPIO,ESTU_ESTADOCIVIL,ESTU_GRADUO_BACHILLER,ESTU_FECHAGRADOBACHILLER,ESTU_MES_TERMINOBACHILLER,ESTU_ANO_TERMINOBACHILLER,ESTU_ANO_EXAMENESTADO_SB11,ESTU_SEMESTRE_EXAMENESTADOSB11,ESTU_PORCENTAJECREDITOSAPROB,ESTU_VALORMATRICULAUNIVERSIDAD,ESTU_PAGOMATRICULABECA,ESTU_PAGOMATRICULACREDITO,ESTU_PAGOMATRICULAPADRES,ESTU_PAGOMATRICULAPROPIO,ESTU_SEMESTRECURSA,ESTU_ULTIMOGRADOAPROBO,ESTU_ANOTERMINOULTIMOGRADO,ESTU_VECESPRESENTOEXAMEN,FAMI_HOGARACTUAL,FAMI_CABEZAFAMILIA,FAMI_NUMPERSONASACARGO,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_OCUPACIONPADRE,FAMI_OCUPACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_NIVEL_SISBEN,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_PISOS_HOGAR,FAMI_TIENEINTERNET,FAMI_TIENE_SERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENE_MICROONDAS,FAMI_TIENE_HORNO,FAMI_TIENEAUTOMOVIL,FAMI_TIENE_DVD,FAMI_TIENE_NEVERA,FAMI_TIENE_CELULAR,FAMI_TELEFONO,FAMI_INGRESO_FMILIAR_MENSUAL,ESTU_TRABAJA_ACTUALMENTE,ESTU_HORASSEMANATRABAJA,INST_NOMBRE_INSTITUCION,ESTU_PRGM_ACADEMICO,GRUPOREFERENCIA,ESTU_PRGM_CODMUNICIPIO,ESTU_PRGM_MUNICIPIO,ESTU_PRGM_DEPARTAMENTO,ESTU_NIVEL_PRGM_ACADEMICO,ESTU_METODO_PRGM,ESTU_INST_CODMUNICIPIO,ESTU_INST_MUNICIPIO,INST_CARACTER_ACADEMICO,INST_ORIGEN,MOD_RAZONA_CUANTITAT_PUNT,MOD_LECTURA_CRITICA_PUNT,MOD_COMPETEN_CIUDADA_PUNT,MOD_INGLES_PUNT,MOD_INGLES_DESEM,MOD_COMUNI_ESCRITA_PUNT,MOD_COMUNI_ESCRITA_DESEM,ESTU_ANO_EGRESO,ESTU_TOMO_CURSOPREPARACION,ESTU_CURSODOCENTESIES,ESTU_CURSOIESAPOYOEXTERNO,ESTU_CURSOIESEXTERNA,ESTU_SIMULACROTIPOICFES,ESTU_ACTIVIDADREFUERZOAREAS,ESTU_ACTIVIDADREFUERZOGENERIC,TOTAL,COD_DPTO,NOM_DPTO,COD_MPIO,NOM_MPIO,TIPO,LATITUD,LONGITUD,YEAR,ESTU_ETNIA,ESTU_LIMITA_MOTRIZ,ESTU_LIMITA_INVIDENTE,ESTU_LIMITA_SORDOCONINTERPRETE,ESTU_LIMITA_SORDOSININTERPRETE,ESTU_LIMITA_SORDOCEGUERA
10,M,24/07/1992,20123,EK201230036698,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2007.0,Segundo semestre,Entre el 81% y el 90%,Menos de 500 mil,No,No,Si,No,10,,,,Es temporal por razones de estudio u otra razón,No,Ninguna,Postgrado,Educación profesional incompleta,Profesional independiente,Director o Gerente General,Estrato 4,Nivel 2,Dos,Dos,"Madera pulida, baldosa, tableta, mármol, alfombra",Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Entre 7 y menos de 10 SMLV,No,,UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,INGENIERIA QUIMICA,INGENIERÍA,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,OFICIAL NACIONAL,12.5,13.9,13.2,14.4,B+,12.4,7.0,,No,No tomó Curso,No tomó Curso,No tomó curso,No,No,No,73.39999999999999,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
11,F,07/12/1989,20121,EK201210046851,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,2008.0,2008.0,Primer semestre,Entre el 81% y el 90%,Más de 5 millones,,,Si,,08,,,,Es habitual o permanente,No,Ninguna,Educación profesional completa,Postgrado,Otra actividad u ocupación,Empresario,Estrato 6,No está clasificada por el SISBEN,Dos,Tres,"Mármol, madera pulida, alfombra, tapete pared a pared",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,10 o más SMLV,"Si, para adquirir experiencia y/o recursos para sus gastos personales",Diez,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,ECONOMIA,ECONOMIA,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,14.5,11.1,13.9,14.4,B+,12.4,7.0,,,,,,,,,73.3,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
12,M,19/02/1991,20123,EK201230039272,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2007.0,Segundo semestre,Más del 90%,Más de 5 millones,Si,,Si,,08,,,,Es habitual o permanente,No,Ninguna,Postgrado,Postgrado,Pensionado,Directivo,Estrato 5,No está clasificada por el SISBEN,Cuatro,Tres,"Mármol, madera pulida, alfombra, tapete pared a pared",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,10 o más SMLV,"Si, para adquirir experiencia y/o recursos para sus gastos personales",Veinte,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,ECONOMIA,ECONOMIA,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,14.4,10.9,11.9,15.0,B+,13.1,8.0,,,,,,,,,73.3,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
13,M,06/03/1989,20123,EK201230028367,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2007.0,Primer semestre,Más del 90%,Más de 5 millones,,,Si,,11,,,,Es temporal por razones de estudio u otra razón,No,Ninguna,Postgrado,Educación profesional completa,Empresario,Hogar,Estrato 5,No está clasificada por el SISBEN,Cuatro,Tres,"Mármol, madera pulida, alfombra, tapete pared a pared",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Entre 2 y menos de 3 SMLV,No,,PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,MEDICINA,MEDICINA,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - FUNDACIÓN,13.4,12.0,11.9,15.0,B+,13.0,8.0,,No,No tomó Curso,No tomó Curso,No tomó curso,No,No,No,73.3,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
14,M,30/12/1988,20123,EK201230028420,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2006.0,Segundo semestre,Entre el 81% y el 90%,Entre 500 mil y menos de 1 millón,Si,,Si,,12 o más,,,,Es habitual o permanente,No,Una,Secundaria (Bachillerato) completa,Educación profesional completa,Trabajador por cuenta propia,Directivo,Estrato 3,No está clasificada por el SISBEN,Cuatro,Tres,"Madera pulida, baldosa, tableta, mármol, alfombra",Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Entre 2 y menos de 3 SMLV,No,,UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,INGENIERIA MECATRONICA,INGENIERÍA,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,OFICIAL NACIONAL,13.3,11.6,13.3,13.9,B+,13.1,8.0,,No,No tomó Curso,No tomó Curso,No tomó curso,No,No,No,73.2,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
15,M,05/03/1992,20123,EK201230053381,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2007.0,Segundo semestre,Entre el 81% y el 90%,Más de 5 millones,Si,No,No,No,08,,,,Es habitual o permanente,No,Ninguna,Técnica o tecnológica completa,Secundaria (Bachillerato) completa,Empleado de nivel técnico o profesional,Hogar,Estrato 4,No está clasificada por el SISBEN,,Tres,"Mármol, madera pulida, alfombra, tapete pared a pared",Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Entre 3 y menos de 5 SMLV,"Si, para adquirir experiencia y/o recursos para sus gastos personales",Dieciocho,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,ECONOMIA,ECONOMIA,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,14.4,12.3,11.6,15.0,B+,12.8,7.0,,,,,,,,,73.10000000000001,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
16,M,10/04/1993,20123,EK201230044999,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2008.0,Segundo semestre,Más del 90%,Entre 1 millón y menos de 3 millones,Si,,Si,,08,,,,Es habitual o permanente,No,Ninguna,Postgrado,Educación profesional completa,Empleado de nivel técnico o profesional,Hogar,Estrato 3,No está clasificada por el SISBEN,Cuatro,Tres,"Madera pulida, baldosa, tableta, mármol, alfombra",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Entre 7 y menos de 10 SMLV,"Si, para adquirir experiencia y/o recursos para sus gastos personales",Siete,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INGENIERIA QUIMICA,INGENIERÍA,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,13.2,12.1,11.9,15.0,B+,12.9,8.0,,No,No tomó Curso,No tomó Curso,No tomó curso,No,No,No,73.1,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
17,F,01/08/1990,20123,EK201230057608,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2007.0,Segundo semestre,Más del 90%,Más de 5 millones,Si,,Si,,09,,,,Es habitual o permanente,No,Ninguna,Educación profesional completa,Educación profesional completa,Directivo,Trabajador por cuenta propia,Estrato 4,No está clasificada por el SISBEN,,Cuatro,"Mármol, madera pulida, alfombra, tapete pared a pared",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Entre 2 y menos de 3 SMLV,No,,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,FILOSOFIA,HUMANIDADES,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,12.8,12.1,12.4,15.0,B+,12.8,8.0,,,,,,,,,73.1,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
18,M,06/07/1988,20123,EK201230039906,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2005.0,Segundo semestre,Más del 90%,Entre 3 millones y menos de 5 millones,,,Si,,07,,,,Es habitual o permanente,No,Ninguna,Postgrado,Secundaria (Bachillerato) completa,Profesional independiente,Hogar,Estrato 4,No está clasificada por el SISBEN,Cuatro,Tres,"Madera pulida, baldosa, tableta, mármol, alfombra",Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Entre 3 y menos de 5 SMLV,No,,"FUNDACION UNIVERSIDAD DE BOGOTA""JORGE TADEO LOZANO""-BOGOTÁ D.C.",TECNOLOGIA EN REALIZACION DE AUDIOVISUALES Y MULTIMEDIA,TECNOLOGICO EN ARTES - DISEÑO - COMUNICACIÓN,11001,BOGOTÁ D.C.,BOGOTA,TECNOLOGÍA,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - FUNDACIÓN,13.2,13.1,12.7,14.4,B+,12.7,7.0,,No,No tomó Curso,No tomó Curso,No tomó curso,No,No,No,73.1,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
19,M,22/02/1992,20123,EK201230079514,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2009.0,Segundo semestre,Menos del 75%,Entre 3 millones y menos de 5 millones,No,No,Si,Si,04,,,,Es habitual o permanente,No,Ninguna,Postgrado,Postgrado,Empleado de nivel técnico o profesional,Hogar,Estrato 4,No está clasificada por el SISBEN,Seis,Cinco,"Madera burda, tabla, tablón",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Entre 5 y menos de 7 SMLV,"Si, para adquirir experiencia y/o recursos para sus gastos personales",Diez,CORPORACION UNIVERSITARIA TALLER CINCO CENTRO DE DISEÑO-BOGOTÁ D.C.,TECNICA PROFESIONAL EN DISEÑO GRAFICO,TECNICO EN ARTES - DISEÑO - COMUNICACIÓN,11001,BOGOTÁ D.C.,BOGOTA,TÉCNICO PROFESIONAL,PRESENCIAL,11001,BOGOTÁ D.C.,TÉCNICA PROFESIONAL,NO OFICIAL - CORPORACIÓN,13.2,13.1,12.7,15.0,B+,11.9,7.0,,No,No tomó Curso,No tomó Curso,No tomó curso,No,No,No,72.9,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
20,M,28/04/1989,20123,EK201230040797,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2006.0,Segundo semestre,Más del 90%,Más de 5 millones,Si,No,No,No,08,,,,Es habitual o permanente,No,Ninguna,Educación profesional incompleta,Técnica o tecnológica completa,Trabajador por cuenta propia,Pequeño empresario,Estrato 3,No está clasificada por el SISBEN,Dos,Dos,"Madera burda, tabla, tablón",Si,Si,Si,No,Si,Si,No,Si,Si,Si,Si,Entre 3 y menos de 5 SMLV,"Si, para adquirir experiencia y/o recursos para sus gastos personales",Diez,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,MATEMATICAS,CIENCIAS NATURALES Y EXACTAS,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,13.4,11.7,11.6,15.0,B+,13.1,8.0,,No,No tomó Curso,No tomó Curso,No tomó curso,No,No,No,72.8,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
21,M,28/04/1989,20121,EK201210021100,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2006.0,Segundo semestre,Más del 90%,Más de 5 millones,,,Si,,10,,,,Es habitual o permanente,No,Ninguna,Educación profesional completa,Educación profesional incompleta,Trabajador por cuenta propia,Hogar,Estrato 6,No está clasificada por el SISBEN,Tres,Dos,"Mármol, madera pulida, alfombra, tapete pared a pared",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Entre 5 y menos de 7 SMLV,"Si, para adquirir experiencia y/o recursos para sus gastos personales",Cuatro,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,LITERATURA,HUMANIDADES,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,12.2,13.5,13.9,13.9,B+,12.2,7.0,,,,,,,,,72.7,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
22,M,13/02/1986,20121,EK201210045992,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2001.0,Segundo semestre,No sigue el sistema de créditos,Entre 500 mil y menos de 1 millón,No,No,No,Si,12 o más,,,,Es habitual o permanente,No,Ninguna,Educación profesional completa,Educación profesional completa,Profesional independiente,Trabajador por cuenta propia,Estrato 3,No está clasificada por el SISBEN,Diez,Ocho,"Madera burda, tabla, tablón",Si,Si,Si,Si,No,No,No,No,Si,Si,Si,Entre 5 y menos de 7 SMLV,"Si, para contribuir a pagar su matrícula y/o los gastos del hogar",Veinte,"UNIVERSIDAD DISTRITAL""FRANCISCO JOSE DE CALDAS""-BOGOTÁ D.C.",INGENIERIA INDUSTRIAL,INGENIERÍA,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,OFICIAL MUNICIPAL,15.9,12.2,12.1,14.9,B+,11.6,6.0,,,,,,,,,72.7,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
23,M,15/12/1989,20121,EK201210021418,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2007.0,Segundo semestre,Entre el 76% y el 80%,Entre 1 millón y menos de 3 millones,No,No,Si,No,07,,,,Es habitual o permanente,No,Ninguna,Postgrado,Postgrado,Pequeño empresario,Empresario,Estrato 5,No está clasificada por el SISBEN,Cuatro,Tres,"Mármol, madera pulida, alfombra, tapete pared a pared",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Entre 3 y menos de 5 SMLV,No,,UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,ECONOMIA,ECONOMIA,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,OFICIAL NACIONAL,14.5,12.5,11.4,13.3,B+,13.0,8.0,,,,,,,,,72.7,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
24,M,22/01/1992,20123,EK201230032713,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2008.0,Segundo semestre,Entre el 81% y el 90%,Más de 5 millones,Si,Si,No,No,08,,,,Es habitual o permanente,No,Ninguna,Técnica o tecnológica completa,Secundaria (Bachillerato) incompleta,Trabajador por cuenta propia,Pequeño empresario,Estrato 3,No está clasificada por el SISBEN,Cuatro,Tres,"Madera pulida, baldosa, tableta, mármol, alfombra",Si,Si,Si,Si,No,No,No,Si,Si,Si,Si,Entre 2 y menos de 3 SMLV,No,,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,ECONOMIA,ECONOMIA,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,12.5,12.3,13.3,15.0,B+,12.6,7.0,,No,No tomó Curso,No tomó Curso,No tomó curso,No,No,No,72.7,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
25,F,02/03/1990,20121,EK201210030622,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2006.0,Segundo semestre,Entre el 81% y el 90%,Más de 5 millones,Si,No,No,No,11,,,,Es habitual o permanente,No,Ninguna,Educación profesional completa,Educación profesional completa,Pensionado,Pensionado,Estrato 4,No está clasificada por el SISBEN,Seis,Seis,"Madera pulida, baldosa, tableta, mármol, alfombra",Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Entre 7 y menos de 10 SMLV,No,,PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,MEDICINA,MEDICINA,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - FUNDACIÓN,14.5,13.5,13.9,13.3,B+,11.4,6.0,,,,,,,,,72.60000000000001,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
26,M,11/12/1989,20123,EK201230035605,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,2008.0,2008.0,Segundo semestre,Entre el 81% y el 90%,Más de 5 millones,Si,,Si,,08,,,Ninguna vez,Es habitual o permanente,No,Ninguna,Educación profesional completa,Educación profesional completa,Profesional independiente,Hogar,Estrato 4,No está clasificada por el SISBEN,Tres,Tres,"Madera pulida, baldosa, tableta, mármol, alfombra",Si,Si,Si,Si,Si,No,No,Si,Si,Si,Si,Entre 7 y menos de 10 SMLV,No,,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INGENIERIA ELECTRONICA,INGENIERÍA,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,12.9,12.1,13.3,15.0,B+,12.3,7.0,,No,No tomó Curso,No tomó Curso,No tomó curso,No,No,No,72.6,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
27,M,13/07/1991,20123,EK201230054029,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2008.0,Segundo semestre,Más del 90%,Más de 5 millones,Si,,,,09,,,,Es temporal por razones de estudio u otra razón,No,Ninguna,Educación profesional completa,Secundaria (Bachillerato) completa,Empleado de nivel técnico o profesional,Hogar,Estrato 3,No está clasificada por el SISBEN,,Uno,"Madera burda, tabla, tablón",Si,No,Si,No,No,No,No,No,Si,Si,No,Entre 1 y menos de 2 SMLV,"Si, para adquirir experiencia y/o recursos para sus gastos personales",Diez,COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO-BOGOTÁ D.C.,PERIODISMO Y OPINION PUBLICA,"COMUNICACIÓN, PERIODISMO Y PUBLICIDAD",11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - FUNDACIÓN,12.7,12.7,13.2,14.4,B+,12.5,7.0,,,,,,,,,72.5,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
28,F,05/11/1990,20123,EK201230034366,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2007.0,Segundo semestre,Más del 90%,Más de 5 millones,,,Si,,09,,,,Es temporal por razones de estudio u otra razón,No,Ninguna,Educación profesional completa,Educación profesional completa,Pequeño empresario,Pequeño empresario,Estrato 4,No está clasificada por el SISBEN,Dos,Dos,"Mármol, madera pulida, alfombra, tapete pared a pared",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,10 o más SMLV,No,,PONTIFICIA UNIVERSIDAD JAVERIANA-BOGOTÁ D.C.,ADMINISTRACION DE EMPRESAS,ADMINISTRACIÓN Y AFINES,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - FUNDACIÓN,12.6,13.3,11.6,13.9,B+,13.1,8.0,,No,No tomó Curso,No tomó Curso,No tomó curso,No,No,No,72.5,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
29,F,16/06/1991,20123,EK201230029715,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2008.0,Primer semestre,Más del 90%,Más de 5 millones,Si,Si,Si,,09,,,,Es habitual o permanente,No,Ninguna,Educación profesional completa,Educación profesional completa,Directivo,Directivo,Estrato 4,No está clasificada por el SISBEN,,Cuatro,"Madera pulida, baldosa, tableta, mármol, alfombra",Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Entre 5 y menos de 7 SMLV,No,,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INGENIERIA AMBIENTAL,INGENIERÍA,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,12.2,12.7,12.4,14.4,B+,12.8,8.0,,,,,,,,,72.5,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
30,M,20/12/1991,20123,EK201230060771,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2007.0,Segundo semestre,Más del 90%,Más de 5 millones,Si,Si,No,No,09,,,,Es habitual o permanente,No,Ninguna,Postgrado,Postgrado,Profesional independiente,Empleado de nivel técnico o profesional,Estrato 3,No está clasificada por el SISBEN,Tres,Dos,"Mármol, madera pulida, alfombra, tapete pared a pared",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Entre 7 y menos de 10 SMLV,No,,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INGENIERIA ELECTRICA,INGENIERÍA,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,15.2,11.8,11.2,15.0,B+,12.3,7.0,,No,No tomó Curso,No tomó Curso,No tomó curso,No,No,No,72.5,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
31,M,15/02/1989,20121,EK201210026767,COLOMBIA,BOGOTA,11.0,BOGOTÁ D.C.,11001.0,Soltero,,,,,2007.0,Segundo semestre,Entre el 81% y el 90%,Más de 5 millones,,Si,Si,,08,,,,Es habitual o permanente,No,Ninguna,Educación profesional completa,Educación profesional completa,Pequeño empresario,Pequeño empresario,Estrato 6,No está clasificada por el SISBEN,Cuatro,Tres,"Madera burda, tabla, tablón",Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Entre 7 y menos de 10 SMLV,"Si, para adquirir experiencia y/o recursos para sus gastos personales",Seis,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INGENIERIA INDUSTRIAL,INGENIERÍA,11001,BOGOTÁ D.C.,BOGOTA,UNIVERSITARIO,PRESENCIAL,11001,BOGOTÁ D.C.,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,12.8,12.5,12.8,14.9,B+,12.4,7.0,,,,,,,,,72.4,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",Municipio,"4,316107698","-74,1810727",2012,,,,,,
